ID,Name,Age,Salary,City
1,Ravi,22.0,30000.0,Delhi
2,Anya,,35000.0,Mumbai
3,Raj,25.0,,
4,,28.0,40000.0,Kolkata
5,Aman,,,Delhi
6,Sara,24.0,37000.0,
7,,,42000.0,Pune
8,Kiran,27.0,,Jaipur
9,Neha,23.0,36000.0,
10,Arjun,,,Delhi
11,Priya,26.0,39000.0,Mumbai
12,,29.0,,
13,Vikram,,41000.0,Lucknow
14,Pooja,31.0,38000.0,Delhi
15,Rahul,28.0,,Pune
16,,,45000.0,
17,Sneha,24.0,,Jaipur
18,Rohit,27.0,34000.0,Mumbai
19,Meena,,36000.0,
20,,30.0,,Kolkata
21,Kunal,26.0,47000.0,Delhi
22,Divya,,,
23,Amit,25.0,33000.0,Pune
24,,28.0,42000.0,Jaipur
25,Nisha,,,
26,Tarun,29.0,39000.0,Lucknow
27,Isha,23.0,35000.0,Delhi
28,,,,
29,Deepak,32.0,48000.0,Mumbai
30,Simran,24.0,,Pune
